case_id,time,side,action,source,range,current_price,score
es_20260828_1345_short_7726_control,14:18:07,supply,TEST,supply_lean,723.50-725,7722.5,14.435
es_20260828_1345_short_7726_control,14:18:11,supply,TEST,supply_lean,723.75-725.75,7722.75,25.172
es_20260828_1345_short_7726_control,14:18:11,supply,TEST,supply_lean,723.75-725.75,7722.75,25.245
es_20260828_1345_short_7726_control,14:18:16,demand,FORM,candidate,721.50-723.25,7723.25,10.037
es_20260828_1345_short_7726_control,14:18:16,supply,TEST,supply_lean,724-725.75,7723.25,22.52
es_20260828_1345_short_7726_control,14:18:28,demand,HOLD,supply_consumed,717-721,7723.75,13.188
es_20260828_1345_short_7726_control,14:18:28,demand,HOLD,supply_consumed,720.75-721,7723.75,8.347
es_20260828_1345_short_7726_control,14:18:28,supply,TEST,supply_lean,724.75-726.25,7723.75,30.6
es_20260828_1345_short_7726_control,14:18:29,supply,FORM,candidate,723.75-724,7724.0,8.011
es_20260828_1345_short_7726_control,14:20:10,supply,TEST,supply_lean,725.50-726.25,7724.5,8.936
es_20260828_1345_short_7726_control,14:20:17,supply,HOLD,supply_lean,725.50-726.25,7722.75,8.936
es_20260828_1345_short_7726_control,14:22:46,supply,HOLD,supply_lean,724.75-726.25,7722.25,30.6
es_20260828_1345_short_7726_control,14:23:03,demand,TEST,supply_consumed,717-721,7722.0,13.188
es_20260828_1345_short_7726_control,14:23:03,demand,TEST,supply_consumed,720.75-721,7722.0,8.347
es_20260828_1345_short_7726_control,14:23:20,supply,HOLD,supply_lean,724-725.75,7721.5,22.52
es_20260828_1345_short_7726_control,14:23:22,supply,HOLD,supply_lean,723.75-725.75,7721.25,25.172
es_20260828_1345_short_7726_control,14:23:22,supply,HOLD,supply_lean,723.75-725.75,7721.25,25.245
es_20260828_1345_short_7726_control,14:23:23,demand,TEST,demand_lean,719.25-719.75,7720.75,22.343
es_20260828_1345_short_7726_control,14:23:23,demand,TEST,supply_consumed,719.50-719.75,7720.75,8.13
es_20260828_1345_short_7726_control,14:23:23,supply,HOLD,supply_lean,723.50-725,7720.75,14.435
es_20260828_1345_short_7726_control,14:23:23,supply,HOLD,demand_consumed,723.25-726.75,7720.75,44.657
es_20260828_1345_short_7726_control,14:23:24,supply,HOLD,demand_consumed,722.25-729.25,7719.75,30.334
es_20260828_1345_short_7726_control,14:23:34,supply,OWNED,supply_lean,723-724.50,7719.25,48.723
es_20260828_1345_short_7726_control,14:23:35,supply,CONSUMED,demand_consumed,721.75-725,7719.25,61.794
es_20260828_1345_short_7726_control,14:23:35,supply,OWNED,supply_lean,722-724,7719.25,13.994
es_20260828_1345_short_7726_control,14:23:35,supply,CONSUMED,demand_consumed,721.50-723.25,7719.25,22.092
es_20260828_1345_short_7726_control,14:23:35,demand,FAIL,supply_consumed,720.75-721,7719.25,8.347
es_20260828_1345_short_7726_control,14:23:38,supply,FORM,candidate,719-719.25,7719.0,8.196
es_20260828_1345_short_7726_control,14:23:54,demand,FAIL,demand_lean,719.25-719.75,7718.25,22.343
es_20260828_1345_short_7726_control,14:23:54,demand,FAIL,supply_consumed,719.50-719.75,7718.25,8.13
es_20260828_1345_short_7726_control,14:26:32,supply,TEST,demand_consumed,721.50-723.25,7720.5,22.092
es_20260828_1345_short_7726_control,14:26:56,supply,TEST,demand_consumed,721.75-725,7720.75,61.794
es_20260828_1345_short_7726_control,14:27:01,supply,TEST,supply_lean,722-724,7721.0,13.994
es_20260828_1345_short_7726_control,14:27:02,supply,TEST,demand_consumed,722.25-729.25,7721.25,30.334
es_20260828_1345_short_7726_control,14:27:06,supply,TEST,supply_lean,723-724.50,7722.0,48.723
es_20260828_1345_short_7726_control,14:27:13,demand,CONSUMED,supply_consumed,718.50-719.25,7721.5,10.83
es_20260828_1345_short_7726_control,14:27:47,supply,HOLD,supply_lean,723-724.50,7720.5,48.723
es_20260828_1345_short_7726_control,14:28:01,demand,TEST,supply_consumed,718.50-719.25,7720.25,10.83
es_20260828_1345_short_7726_control,14:29:37,supply,HOLD,demand_consumed,722.25-729.25,7719.75,30.334
es_20260828_1345_short_7726_control,14:29:38,supply,HOLD,demand_consumed,721.75-725,7719.25,61.794
es_20260828_1345_short_7726_control,14:29:38,supply,HOLD,supply_lean,722-724,7719.25,13.994
es_20260828_1345_short_7726_control,14:30:00,supply,HOLD,demand_consumed,721.50-723.25,7719.0,22.092
