et,open,high,low,close,volume,buy_volume,sell_volume,delta,prints,rth_volume_percentile,hit_target_low,hit_target_high
14:18:00,7734.0,7735.75,7733.75,7735.5,2335.0,1481.0,854.0,627.0,1676,0.5882352941176471,False,False
14:19:00,7735.75,7736.25,7733.75,7734.25,1538.0,722.0,816.0,-94.0,1236,0.2966751918158568,False,False
14:20:00,7734.0,7735.75,7733.75,7735.25,1905.0,1084.0,821.0,263.0,1518,0.4398976982097187,False,False
14:21:00,7735.0,7735.5,7733.75,7734.75,1790.0,948.0,842.0,106.0,1385,0.38618925831202044,False,False
14:22:00,7734.75,7735.75,7733.75,7734.25,1283.0,636.0,647.0,-11.0,1070,0.1918158567774936,False,False
14:23:00,7734.0,7734.5,7731.75,7732.0,2329.0,1128.0,1201.0,-73.0,1809,0.5856777493606138,False,False
14:24:00,7732.0,7732.75,7731.25,7732.25,1542.0,801.0,741.0,60.0,1130,0.30179028132992325,False,False
14:25:00,7732.25,7732.5,7730.25,7731.0,1813.0,882.0,931.0,-49.0,1504,0.39641943734015345,False,False
14:26:00,7731.0,7731.5,7729.5,7729.5,2289.0,956.0,1333.0,-377.0,1591,0.5754475703324808,False,True
14:27:00,7729.5,7729.5,7726.25,7726.5,2995.0,1346.0,1649.0,-303.0,2263,0.7647058823529411,True,True
14:28:00,7726.25,7727.25,7724.25,7726.5,4372.0,2097.0,2275.0,-178.0,3224,0.8823529411764706,False,False
14:29:00,7726.25,7726.5,7723.75,7725.75,3590.0,1931.0,1659.0,272.0,2624,0.8286445012787724,False,False
14:30:00,7726.0,7727.75,7725.25,7727.5,3349.0,2034.0,1315.0,719.0,2573,0.8056265984654731,False,False
14:31:00,7727.25,7729.75,7727.25,7729.0,2529.0,1475.0,1054.0,421.0,1940,0.649616368286445,True,True
14:32:00,7728.75,7730.75,7728.25,7730.0,2694.0,1529.0,1165.0,364.0,1857,0.6879795396419437,False,True
14:33:00,7729.75,7730.75,7726.25,7726.25,2778.0,1484.0,1294.0,190.0,1971,0.7084398976982097,True,True
14:34:00,7726.25,7727.0,7725.5,7726.75,2010.0,894.0,1116.0,-222.0,1458,0.4833759590792839,False,False
