recorded_at_utc,api_as_of_utc,ticker,category,spot,zero_gamma,call_wall,put_wall,oi_call_wall,oi_put_wall,sum_gex_vol,sum_gex_oi,recorded_et,nearest_to_7728,dist_to_7728,nearest_to_7729.5,dist_to_7729.5,nearest_to_7728.75,dist_to_7728.75
2026-08-27T18:18:25.577696Z,2026-08-27T18:18:25Z,ES_SPX,gex_zero,7734.33,7735.9,7746.75,7712.95,7752.95,7727.95,138201.818,18653.868,14:18:25,oi_put_wall,0.0500000000001819,oi_put_wall,1.550000000000182,oi_put_wall,0.8000000000001819
2026-08-27T18:18:25.940024Z,2026-08-27T18:18:25Z,ES_SPX,gex_full,7734.33,7735.9,7745.0,7712.95,7912.95,7512.95,146826.223,54437.226,14:18:25,zero_gamma,-7.899999999999636,zero_gamma,-6.399999999999636,zero_gamma,-7.149999999999636
2026-08-27T18:19:27.592078Z,2026-08-27T18:19:27Z,ES_SPX,gex_zero,7735.53,7735.45,7743.21,7712.95,7752.95,7727.95,187907.831,19185.881,14:19:27,oi_put_wall,0.0500000000001819,oi_put_wall,1.550000000000182,oi_put_wall,0.8000000000001819
2026-08-27T18:19:27.964177Z,2026-08-27T18:19:27Z,ES_SPX,gex_full,7735.53,7735.45,7743.21,7712.95,7812.95,7512.95,197232.845,55451.112,14:19:27,zero_gamma,-7.449999999999818,zero_gamma,-5.949999999999818,zero_gamma,-6.699999999999818
2026-08-27T18:20:29.935744Z,2026-08-27T18:20:29Z,ES_SPX,gex_zero,7734.93,7734.56,7743.03,7722.95,7738.03,7727.95,195697.602,20012.535,14:20:29,oi_put_wall,0.0500000000001819,oi_put_wall,1.550000000000182,oi_put_wall,0.8000000000001819
2026-08-27T18:20:30.360505Z,2026-08-27T18:20:29Z,ES_SPX,gex_full,7734.93,7734.56,7743.03,7722.95,7912.95,7512.95,204859.0,56142.662,14:20:30,put_wall,5.050000000000182,zero_gamma,-5.0600000000004,put_wall,5.800000000000182
2026-08-27T18:21:32.181176Z,2026-08-27T18:21:32Z,ES_SPX,gex_zero,7734.07,7735.45,7743.03,7712.95,7738.21,7727.95,135452.88,17941.026,14:21:32,oi_put_wall,0.0500000000001819,oi_put_wall,1.550000000000182,oi_put_wall,0.8000000000001819
2026-08-27T18:21:32.673868Z,2026-08-27T18:21:32Z,ES_SPX,gex_full,7734.07,7735.45,7743.03,7712.95,7912.95,7512.95,144942.29,54193.295,14:21:32,zero_gamma,-7.449999999999818,zero_gamma,-5.949999999999818,zero_gamma,-6.699999999999818
2026-08-27T18:22:34.681010Z,2026-08-27T18:22:33Z,ES_SPX,gex_zero,7735.08,7735.0,7743.03,7712.95,7739.56,7727.95,191960.162,19756.006,14:22:34,oi_put_wall,0.0500000000001819,oi_put_wall,1.550000000000182,oi_put_wall,0.8000000000001819
2026-08-27T18:22:35.069548Z,2026-08-27T18:22:33Z,ES_SPX,gex_full,7735.08,7735.0,7743.03,7712.95,7812.95,7512.95,201317.726,56001.486,14:22:35,zero_gamma,-7.0,zero_gamma,-5.5,zero_gamma,-6.25
2026-08-27T18:23:36.797543Z,2026-08-27T18:23:37Z,ES_SPX,gex_zero,7732.61,7736.75,7743.21,7723.03,7742.7,7727.95,66480.568,16823.817,14:23:36,oi_put_wall,0.0500000000001819,oi_put_wall,1.550000000000182,oi_put_wall,0.8000000000001819
2026-08-27T18:23:37.131995Z,2026-08-27T18:23:37Z,ES_SPX,gex_full,7732.61,7736.75,7743.21,7712.95,7912.95,7512.95,75133.848,51249.406,14:23:37,zero_gamma,-8.75,zero_gamma,-7.25,zero_gamma,-8.0
2026-08-27T18:24:38.664357Z,2026-08-27T18:24:38Z,ES_SPX,gex_zero,7731.91,7736.34,7743.03,7712.95,7738.03,7727.95,49200.077,16730.551,14:24:38,oi_put_wall,0.0500000000001819,oi_put_wall,1.550000000000182,oi_put_wall,0.8000000000001819
2026-08-27T18:24:39.019836Z,2026-08-27T18:24:38Z,ES_SPX,gex_full,7731.91,7735.9,7743.03,7712.95,7912.95,7512.95,57222.094,50502.154,14:24:39,zero_gamma,-7.899999999999636,zero_gamma,-6.399999999999636,zero_gamma,-7.149999999999636
2026-08-27T18:25:12.868242Z,2026-08-27T18:25:12Z,ES_SPX,gex_zero,7731.79,7735.45,7743.03,7712.95,7738.03,7727.95,67131.761,16795.652,14:25:12,oi_put_wall,0.0500000000001819,oi_put_wall,1.550000000000182,oi_put_wall,0.8000000000001819
2026-08-27T18:25:40.701708Z,2026-08-27T18:25:40Z,ES_SPX,gex_zero,7730.46,7735.45,7742.95,7712.95,7737.95,7727.95,28494.141,15822.581,14:25:40,oi_put_wall,0.0500000000001819,oi_put_wall,1.550000000000182,oi_put_wall,0.8000000000001819
2026-08-27T18:25:41.133685Z,2026-08-27T18:25:40Z,ES_SPX,gex_full,7730.46,7735.45,7742.95,7712.95,7912.95,7512.95,36114.815,49259.183,14:25:41,zero_gamma,-7.449999999999818,zero_gamma,-5.949999999999818,zero_gamma,-6.699999999999818
2026-08-27T18:26:42.950578Z,2026-08-27T18:26:42Z,ES_SPX,gex_zero,7729.84,7735.9,7743.03,7712.95,7738.03,7727.95,-10108.078,14798.836,14:26:42,oi_put_wall,0.0500000000001819,oi_put_wall,1.550000000000182,oi_put_wall,0.8000000000001819
2026-08-27T18:26:43.247096Z,2026-08-27T18:26:42Z,ES_SPX,gex_full,7729.84,7735.9,7743.03,7712.95,7912.95,7512.95,-3094.018,47646.578,14:26:43,zero_gamma,-7.899999999999636,zero_gamma,-6.399999999999636,zero_gamma,-7.149999999999636
2026-08-27T18:27:44.769205Z,2026-08-27T18:27:44Z,ES_SPX,gex_zero,7727.71,7735.45,7742.95,7712.95,7737.95,7727.95,-61275.823,13880.4,14:27:44,oi_put_wall,0.0500000000001819,oi_put_wall,1.550000000000182,oi_put_wall,0.8000000000001819
2026-08-27T18:27:45.567472Z,2026-08-27T18:27:44Z,ES_SPX,gex_full,7727.71,7735.45,7742.95,7712.95,7912.95,7512.95,-55474.893,45232.831,14:27:45,zero_gamma,-7.449999999999818,zero_gamma,-5.949999999999818,zero_gamma,-6.699999999999818
2026-08-27T18:28:49.296554Z,2026-08-27T18:28:48Z,ES_SPX,gex_zero,7726.72,7735.0,7742.95,7712.95,7737.95,7727.95,-85272.618,13422.62,14:28:49,oi_put_wall,0.0500000000001819,oi_put_wall,1.550000000000182,oi_put_wall,0.8000000000001819
2026-08-27T18:28:49.662098Z,2026-08-27T18:28:48Z,ES_SPX,gex_full,7726.72,7735.0,7742.95,7712.95,7912.95,7512.95,-80099.147,43845.27,14:28:49,zero_gamma,-7.0,zero_gamma,-5.5,zero_gamma,-6.25
2026-08-27T18:29:51.525458Z,2026-08-27T18:29:50Z,ES_SPX,gex_zero,7724.52,7735.0,7742.95,7712.95,7737.95,7727.95,-141451.292,11477.577,14:29:51,oi_put_wall,0.0500000000001819,oi_put_wall,1.550000000000182,oi_put_wall,0.8000000000001819
2026-08-27T18:29:51.957856Z,2026-08-27T18:29:52Z,ES_SPX,gex_full,7724.95,7735.0,7742.95,7712.95,7912.95,7512.95,-122435.353,41837.64,14:29:51,zero_gamma,-7.0,zero_gamma,-5.5,zero_gamma,-6.25
2026-08-27T18:30:14.433046Z,2026-08-27T18:30:13Z,ES_SPX,gex_zero,7725.75,7735.51,7743.01,7713.01,7738.01,7728.01,-128208.899,12522.351,14:30:14,oi_put_wall,-0.010000000000218279,oi_put_wall,1.4899999999997817,oi_put_wall,0.7399999999997817
2026-08-27T18:30:53.731087Z,2026-08-27T18:30:52Z,ES_SPX,gex_zero,7727.16,7735.96,7743.01,7713.01,7738.01,7728.01,-96613.315,13770.473,14:30:53,oi_put_wall,-0.010000000000218279,oi_put_wall,1.4899999999997817,oi_put_wall,0.7399999999997817
