recorded_at_utc,api_as_of_utc,ticker,category,spot,zero_gamma,call_wall,put_wall,oi_call_wall,oi_put_wall,sum_gex_vol,sum_gex_oi,recorded_et,nearest_to_7740,dist_to_7740,nearest_to_7743,dist_to_7743,nearest_to_7741.5,dist_to_7741.5
2026-08-27T14:35:03.985275Z,2026-08-27T14:35:02Z,ES_SPX,gex_zero,7724.83,7715.09,7743.04,7703.04,7753.04,7728.04,67790.868,11376.983,10:35:03,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:35:04.271055Z,2026-08-27T14:35:04Z,ES_SPX,gex_full,7724.76,7715.09,7743.04,7703.04,7813.04,7513.04,69470.956,38282.273,10:35:04,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:36:05.853150Z,2026-08-27T14:36:05Z,ES_SPX,gex_zero,7728.39,7715.09,7743.04,7703.04,7753.04,7728.04,87765.201,13373.212,10:36:05,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:36:06.257722Z,2026-08-27T14:36:05Z,ES_SPX,gex_full,7728.39,7715.09,7743.04,7703.04,7813.04,7513.04,90430.1,41203.864,10:36:06,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:37:07.687902Z,2026-08-27T14:37:06Z,ES_SPX,gex_zero,7729.02,7715.09,7743.04,7703.04,7753.04,7728.04,93623.871,13918.132,10:37:07,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:37:07.988898Z,2026-08-27T14:37:06Z,ES_SPX,gex_full,7729.02,7714.65,7743.04,7703.04,7813.04,7513.04,96586.17,42487.624,10:37:07,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:38:09.524562Z,2026-08-27T14:38:09Z,ES_SPX,gex_zero,7728.72,7715.54,7743.04,7703.04,7753.04,7728.04,92983.22,13582.796,10:38:09,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:38:09.838893Z,2026-08-27T14:38:09Z,ES_SPX,gex_full,7728.72,7715.09,7743.04,7703.04,7813.04,7513.04,96462.31,42281.014,10:38:09,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:39:11.411068Z,2026-08-27T14:39:10Z,ES_SPX,gex_zero,7727.51,7715.09,7743.04,7703.04,7753.04,7728.04,91048.896,13179.683,10:39:11,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:39:11.713131Z,2026-08-27T14:39:11Z,ES_SPX,gex_full,7726.76,7715.09,7743.04,7703.04,7813.04,7513.04,91277.141,40931.628,10:39:11,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:40:13.272663Z,2026-08-27T14:40:12Z,ES_SPX,gex_zero,7724.35,7715.54,7743.04,7703.04,7753.04,7728.04,68533.424,11091.7,10:40:13,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:40:13.554188Z,2026-08-27T14:40:12Z,ES_SPX,gex_full,7724.35,7715.54,7743.04,7703.04,7813.04,7513.04,71467.59,38406.215,10:40:13,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:41:15.177234Z,2026-08-27T14:41:14Z,ES_SPX,gex_zero,7726.35,7715.54,7743.04,7703.04,7753.04,7728.04,85304.652,12549.135,10:41:15,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
