bar,display,side,price_range,center,label_size,source,identity_backed,prints,buy_volume,sell_volume,volume,delta,delta_share,bins,visual01
12:05:00,12:07:30,SELL,7737.00-7737.50,7737.00,361,trade,0,136,0,361,361,-361,1.000,3,0.864
12:15:00,12:17:30,BUY,7740.00,7740.00,288,delta,0,63,288,0,288,288,1.000,1,0.668
12:15:00,12:17:30,BUY,7740.00,7740.00,277,trade,0,52,277,0,277,277,1.000,1,0.634
12:20:00,12:22:30,SELL,7735.00-7735.25,7735.00,229,trade,0,76,0,229,229,-229,1.000,2,0.453
12:30:00,12:32:30,BUY,7741.75,7741.75,265,trade,0,40,265,0,265,265,1.000,1,0.594
12:30:00,12:32:30,BUY,7742.00-7742.50,7742.25,219,trade,0,127,219,0,219,219,1.000,3,0.405
12:30:00,12:32:30,BUY,7742.00-7743.25,7742.50,635,delta,0,1687,1483,848,2331,635,0.272,1,1.000
12:40:00,12:42:30,SELL,7747.25-7747.75,7747.50,196,trade,0,121,0,196,196,-196,1.000,3,0.264
12:40:00,12:42:30,BUY,7749.00,7749.00,179,trade,0,74,179,0,179,179,1.000,1,0.000
12:45:00,12:47:30,BUY,7749.25-7749.75,7749.50,231,trade,0,128,231,0,231,231,1.000,3,0.462
12:45:00,12:47:30,BUY,7750.00-7750.25,7750.00,294,trade,0,155,294,0,294,294,1.000,2,0.687
12:50:00,12:52:30,SELL,7748.00,7748.00,207,trade,0,70,0,207,207,-207,1.000,1,0.339
13:00:00,13:02:30,SELL,7751.50-7751.75,7751.50,196,delta,0,341,172,368,540,-196,0.363,1,0.264
13:05:00,13:07:30,BUY,7750.00-7750.75,7750.50,360,trade,0,133,360,0,360,360,1.000,4,0.861
13:05:00,13:07:30,BUY,7750.50-7750.75,7750.75,294,trade,0,9,294,0,294,294,1.000,2,0.687
13:05:00,13:07:30,SELL,7752.00-7752.25,7752.25,537,trade,0,241,0,537,537,-537,1.000,2,1.000
13:05:00,13:07:30,SELL,7752.00-7753.75,7753.00,1598,delta,0,3468,1932,3530,5462,-1598,0.293,1,1.000
13:05:00,13:07:30,SELL,7753.50-7753.75,7753.50,575,trade,0,161,0,575,575,-575,1.000,2,1.000
13:05:00,13:07:30,SELL,7753.50-7753.75,7753.75,474,trade,0,267,0,474,474,-474,1.000,2,1.000
13:05:00,13:07:30,BUY,7754.00-7754.50,7754.00,202,trade,0,122,202,0,202,202,1.000,3,0.307
13:05:00,13:07:30,BUY,7754.25-7754.75,7754.50,183,trade,0,128,183,0,183,183,1.000,3,0.128
13:10:00,13:12:30,SELL,7754.75-7755.00,7755.00,220,trade,0,129,0,220,220,-220,1.000,2,0.410
