source,line,utc,et,event,campaign_id,action,policy,reason,waypoint,phase,pos_before,price,evidence_kind,evidence_side,evidence_range,ts_utc,mono_us,simulated_position_quantity,live_position_quantity,active_risk_anchor,active_risk_anchor_evidence_id,root_risk_anchor,root_risk_anchor_evidence_id,armed_waypoint_id,suppress_adds_until,execution_attempt_count,max_retry,retries_remaining,execution_pause_reason,execution_paused_at,execution_accepted,execution_shadow,execution_order_id,execution_message,kind,mid_price,band_side,band_state,band_min,band_max,band_score,candidate_side,candidate_min,candidate_max,candidate_score
kahn,11172,2026-08-27T18:27:05.114712Z,14:27:05,campaign_state,es-2026-08-27-short-upper-supply-vwap-7754-7756,,,,,BuildTrial,,,,,,2026-08-27T18:27:05.1147126Z,7153682652,2,2,"{'lower': 7743.75, 'upper': 7747.25}",live-ll-37-RailOwned-639234504886562358,"{'lower': 7751.25, 'upper': 7751.5}",live-ll-28-RailHeld-639234491436131978,,2026-08-27T18:29:05.1121834+00:00,1,3,2,,,True,False,,state-only decision,,,,,,,,,,,
kahn,11175,2026-08-27T18:27:10.122929Z,14:27:10,policy_decision,es-2026-08-27-short-upper-supply-vwap-7754-7756,SuppressAdd,path_stress,mature_path_adds_suppressed,pathstress-7728-7731,BuildTrial,2,7728.875,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahn,11176,2026-08-27T18:27:10.123309Z,14:27:10,campaign_state,es-2026-08-27-short-upper-supply-vwap-7754-7756,,,,,BuildTrial,,,,,,2026-08-27T18:27:10.1233096Z,7158691077,2,2,"{'lower': 7743.75, 'upper': 7747.25}",live-ll-37-RailOwned-639234504886562358,"{'lower': 7751.25, 'upper': 7751.5}",live-ll-28-RailHeld-639234491436131978,,2026-08-27T18:29:10.1128973+00:00,1,3,2,,,True,False,,state-only decision,,,,,,,,,,,
kahn,11177,2026-08-27T18:27:15.120097Z,14:27:15,policy_decision,es-2026-08-27-short-upper-supply-vwap-7754-7756,SuppressAdd,path_stress,mature_path_adds_suppressed,pathstress-7728-7731,BuildTrial,2,7728.125,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahn,11178,2026-08-27T18:27:15.122032Z,14:27:15,campaign_state,es-2026-08-27-short-upper-supply-vwap-7754-7756,,,,,BuildTrial,,,,,,2026-08-27T18:27:15.1220329Z,7163689630,2,2,"{'lower': 7743.75, 'upper': 7747.25}",live-ll-37-RailOwned-639234504886562358,"{'lower': 7751.25, 'upper': 7751.5}",live-ll-28-RailHeld-639234491436131978,,2026-08-27T18:29:15.1194699+00:00,1,3,2,,,True,False,,state-only decision,,,,,,,,,,,
kahn,11180,2026-08-27T18:27:15.873483Z,14:27:15,ll_transition,,,,Adverse,,,,,,,,,,,,,,,,,,,,,,,,,,,CandidateDisplacementStarted,7727.75,,,,,,Demand,7729.75,7730.75,30.310668814514806
kahn,11181,2026-08-27T18:27:17.122143Z,14:27:17,ll_transition,,,,inside_threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,CandidateDisplacementReset,7728.0,,,,,,Demand,7729.75,7730.75,30.310668814514806
kahn,11183,2026-08-27T18:27:20.120703Z,14:27:20,policy_decision,es-2026-08-27-short-upper-supply-vwap-7754-7756,SuppressAdd,path_stress,mature_path_adds_suppressed,pathstress-7728-7731,BuildTrial,2,7728.125,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahn,11184,2026-08-27T18:27:20.121568Z,14:27:20,campaign_state,es-2026-08-27-short-upper-supply-vwap-7754-7756,,,,,BuildTrial,,,,,,2026-08-27T18:27:20.1215689Z,7168688993,2,2,"{'lower': 7743.75, 'upper': 7747.25}",live-ll-37-RailOwned-639234504886562358,"{'lower': 7751.25, 'upper': 7751.5}",live-ll-28-RailHeld-639234491436131978,,2026-08-27T18:29:20.1199343+00:00,1,3,2,,,True,False,,state-only decision,,,,,,,,,,,
kahn,11185,2026-08-27T18:27:22.881254Z,14:27:22,ll_transition,,,,Adverse,,,,,,,,,,,,,,,,,,,,,,,,,,,CandidateDisplacementStarted,7727.75,,,,,,Demand,7729.75,7730.75,30.310668814514806
kahn,11187,2026-08-27T18:27:25.130722Z,14:27:25,policy_decision,es-2026-08-27-short-upper-supply-vwap-7754-7756,SuppressAdd,path_stress,mature_path_adds_suppressed,pathstress-7728-7731,BuildTrial,2,7727.875,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahn,11188,2026-08-27T18:27:25.131348Z,14:27:25,campaign_state,es-2026-08-27-short-upper-supply-vwap-7754-7756,,,,,BuildTrial,,,,,,2026-08-27T18:27:25.1313485Z,7173698600,2,2,"{'lower': 7743.75, 'upper': 7747.25}",live-ll-37-RailOwned-639234504886562358,"{'lower': 7751.25, 'upper': 7751.5}",live-ll-28-RailHeld-639234491436131978,,2026-08-27T18:29:25.1291060+00:00,1,3,2,,,True,False,,state-only decision,,,,,,,,,,,
kahn,11189,2026-08-27T18:27:26.625927Z,14:27:26,ll_transition,,,,inside_threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,CandidateDisplacementReset,7728.25,,,,,,Demand,7729.75,7730.75,30.310668814514806
kahn,11191,2026-08-27T18:27:30.363072Z,14:27:30,policy_decision,es-2026-08-27-short-upper-supply-vwap-7754-7756,SuppressAdd,path_stress,mature_path_adds_suppressed,pathstress-7728-7731,BuildTrial,2,7728.125,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahn,11192,2026-08-27T18:27:30.363517Z,14:27:30,campaign_state,es-2026-08-27-short-upper-supply-vwap-7754-7756,,,,,BuildTrial,,,,,,2026-08-27T18:27:30.3635177Z,7178930588,2,2,"{'lower': 7743.75, 'upper': 7747.25}",live-ll-37-RailOwned-639234504886562358,"{'lower': 7751.25, 'upper': 7751.5}",live-ll-28-RailHeld-639234491436131978,,2026-08-27T18:29:30.3617322+00:00,1,3,2,,,True,False,,state-only decision,,,,,,,,,,,
kahn,11193,2026-08-27T18:27:34.405188Z,14:27:34,ll_transition,,,,Adverse,,,,,,,,,,,,,,,,,,,,,,,,,,,CandidateDisplacementStarted,7727.75,,,,,,Demand,7729.75,7730.75,30.310668814514806
kahn,11194,2026-08-27T18:27:35.377504Z,14:27:35,policy_decision,es-2026-08-27-short-upper-supply-vwap-7754-7756,SuppressAdd,path_stress,mature_path_adds_suppressed,pathstress-7728-7731,BuildTrial,2,7728.125,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahn,11195,2026-08-27T18:27:35.377969Z,14:27:35,campaign_state,es-2026-08-27-short-upper-supply-vwap-7754-7756,,,,,BuildTrial,,,,,,2026-08-27T18:27:35.3779692Z,7183944868,2,2,"{'lower': 7743.75, 'upper': 7747.25}",live-ll-37-RailOwned-639234504886562358,"{'lower': 7751.25, 'upper': 7751.5}",live-ll-28-RailHeld-639234491436131978,,2026-08-27T18:29:35.3766294+00:00,1,3,2,,,True,False,,state-only decision,,,,,,,,,,,
kahn,11196,2026-08-27T18:27:35.628992Z,14:27:35,ll_transition,,,,inside_threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,CandidateDisplacementReset,7728.0,,,,,,Demand,7729.75,7730.75,30.310668814514806
kahn,11198,2026-08-27T18:27:40.623097Z,14:27:40,policy_decision,es-2026-08-27-short-upper-supply-vwap-7754-7756,SuppressAdd,path_stress,mature_path_adds_suppressed,pathstress-7728-7731,BuildTrial,2,7728.125,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahn,11199,2026-08-27T18:27:40.623633Z,14:27:40,campaign_state,es-2026-08-27-short-upper-supply-vwap-7754-7756,,,,,BuildTrial,,,,,,2026-08-27T18:27:40.6236335Z,7189190356,2,2,"{'lower': 7743.75, 'upper': 7747.25}",live-ll-37-RailOwned-639234504886562358,"{'lower': 7751.25, 'upper': 7751.5}",live-ll-28-RailHeld-639234491436131978,,2026-08-27T18:29:40.6198495+00:00,1,3,2,,,True,False,,state-only decision,,,,,,,,,,,
kahn,11200,2026-08-27T18:27:42.382531Z,14:27:42,ll_transition,,,,Adverse,,,,,,,,,,,,,,,,,,,,,,,,,,,CandidateDisplacementStarted,7727.75,,,,,,Demand,7729.75,7730.75,30.310668814514806
kahn,11203,2026-08-27T18:27:45.623051Z,14:27:45,policy_decision,es-2026-08-27-short-upper-supply-vwap-7754-7756,SuppressAdd,path_stress,mature_path_adds_suppressed,pathstress-7728-7731,BuildTrial,2,7727.625,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahn,11204,2026-08-27T18:27:45.623358Z,14:27:45,campaign_state,es-2026-08-27-short-upper-supply-vwap-7754-7756,,,,,BuildTrial,,,,,,2026-08-27T18:27:45.6233587Z,7194189904,2,2,"{'lower': 7743.75, 'upper': 7747.25}",live-ll-37-RailOwned-639234504886562358,"{'lower': 7751.25, 'upper': 7751.5}",live-ll-28-RailHeld-639234491436131978,,2026-08-27T18:29:45.6220842+00:00,1,3,2,,,True,False,,state-only decision,,,,,,,,,,,
kahn,11205,2026-08-27T18:27:50.864819Z,14:27:50,policy_decision,es-2026-08-27-short-upper-supply-vwap-7754-7756,SuppressAdd,path_stress,mature_path_adds_suppressed,pathstress-7728-7731,BuildTrial,2,7727.375,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
