symbol,first_line,last_line,first_utc,last_utc,first_et,last_et,count,campaign_id,phase_before,phase_after,action,policy,reason_code,waypoint_id,evidence_source,evidence_kind,evidence_side,first_price,min_price,max_price,first_pos_before,last_pos_after,first_evidence_id,last_evidence_id
ES,10251,10251,2026-08-27T18:05:01.168693Z,2026-08-27T18:05:01.168693Z,14:05:01,14:05:01,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,Price,PriceTouch,None,7736.875,7736.875,7736.875,2,2,quote-639234507010186278,quote-639234507010186278
ES,10253,10253,2026-08-27T18:05:02.153697Z,2026-08-27T18:05:02.153697Z,14:05:02,14:05:02,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7728-7738,Price,PriceTouch,None,7736.625,7736.625,7736.625,2,2,quote-639234507020327983,quote-639234507020327983
ES,10255,10255,2026-08-27T18:05:06.915704Z,2026-08-27T18:05:06.915704Z,14:05:06,14:05:06,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,Price,PriceTouch,None,7736.875,7736.875,7736.875,2,2,quote-639234507067558811,quote-639234507067558811
ES,10257,10257,2026-08-27T18:05:07.172809Z,2026-08-27T18:05:07.172809Z,14:05:07,14:05:07,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7728-7738,Price,PriceTouch,None,7736.625,7736.625,7736.625,2,2,quote-639234507069216676,quote-639234507069216676
ES,10259,10259,2026-08-27T18:05:12.168219Z,2026-08-27T18:05:12.168219Z,14:05:12,14:05:12,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,Price,PriceTouch,None,7737.375,7737.375,7737.375,2,2,quote-639234507119919431,quote-639234507119919431
ES,10262,10262,2026-08-27T18:05:13.165203Z,2026-08-27T18:05:13.165203Z,14:05:13,14:05:13,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7728-7738,Price,PriceTouch,None,7736.625,7736.625,7736.625,2,2,quote-639234507130904000,quote-639234507130904000
ES,10265,10349,2026-08-27T18:05:17.417946Z,2026-08-27T18:07:36.918770Z,14:05:17,14:07:36,28,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,Price,PriceTouch,None,7737.625,7737.125,7738.375,2,2,quote-639234507172340108,quote-639234508567401674
ES,10351,10355,2026-08-27T18:07:37.419215Z,2026-08-27T18:07:42.660311Z,14:07:37,14:07:42,2,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7728-7738,Price,PriceTouch,None,7736.75,7735.875,7736.75,2,2,quote-639234508572542626,quote-639234508624712036
ES,10357,10357,2026-08-27T18:07:44.927157Z,2026-08-27T18:07:44.927157Z,14:07:44,14:07:44,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,Price,PriceTouch,None,7736.875,7736.875,7736.875,2,2,quote-639234508647078595,quote-639234508647078595
ES,10360,10360,2026-08-27T18:07:48.426417Z,2026-08-27T18:07:48.426417Z,14:07:48,14:07:48,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7728-7738,Price,PriceTouch,None,7736.75,7736.75,7736.75,2,2,quote-639234508682495461,quote-639234508682495461
ES,10362,10380,2026-08-27T18:07:50.162547Z,2026-08-27T18:08:26.173314Z,14:07:50,14:08:26,8,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,Price,PriceTouch,None,7737.125,7736.875,7737.125,2,2,quote-639234508699234687,quote-639234509059874542
ES,10382,10382,2026-08-27T18:08:26.912140Z,2026-08-27T18:08:26.912140Z,14:08:26,14:08:26,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7728-7738,Price,PriceTouch,None,7736.75,7736.75,7736.75,2,2,quote-639234509068148251,quote-639234509068148251
ES,10385,10385,2026-08-27T18:08:31.424107Z,2026-08-27T18:08:31.424107Z,14:08:31,14:08:31,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,Price,PriceTouch,None,7736.875,7736.875,7736.875,2,2,quote-639234509112345612,quote-639234509112345612
ES,10387,10390,2026-08-27T18:08:32.178213Z,2026-08-27T18:08:37.424935Z,14:08:32,14:08:37,2,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7728-7738,Price,PriceTouch,None,7736.625,7736.375,7736.625,2,2,quote-639234509119146569,quote-639234509172272964
