cluster_id,symbol,ticker,field,side_hint,start_et,end_et,bars,level_first,level_last,level_min,level_max,level_stability_points,touch_min_distance,price_high,price_low,close_last,volume_pct_median,volume_pct_max,delta_sum,sum_gex_vol_first,sum_gex_vol_last,sum_gex_vol_change,response_15m,extension_15m,response_30m,extension_30m,ll_near,policy_near,15m_future_high,15m_future_low,15m_future_close,15m_up_from_level,15m_down_from_level,15m_close_from_level,30m_future_high,30m_future_low,30m_future_close,30m_up_from_level,30m_down_from_level,30m_close_from_level,research_class
25,ES,ES_SPX,zero_gamma,lower,09:47:00,09:50:00,4,7711.31,7712.61,7711.31,7712.61,1.2999999999992724,0.0,7721.75,7708.25,7719.25,0.9628205128205128,0.9897435897435898,-33.0,11209.01,8518.367,-2690.643,13.274999999999636,4.725000000000364,13.774999999999636,4.725000000000364,09:47:24 RailTested Demand 7713.5-7714; 09:47:25 RailTested Demand 7712.5-7713; 09:47:35 RailTested Demand 7710.75-7711; 09:47:51 RailHeld Demand 7710.75-7711,09:54:03 AllowProbe trap_probe/same_side_lean_at_trap_probe; 09:55:45 Flatten build_trial/risk_anchor_failed,7725.25,7707.25,7720.5,13.274999999999636,4.725000000000364,8.524999999999636,7725.75,7707.25,7725.75,13.774999999999636,4.725000000000364,13.774999999999636,campaign_relevant_touch
26,ES,ES_SPX,zero_gamma,upper,09:56:00,10:00:00,5,7713.55,7712.98,7712.98,7713.55,0.5700000000006185,0.0,7720.0,7707.25,7716.25,0.9333333333333333,0.9666666666666667,-391.0,17596.732,14986.619,-2610.1129999999994,1.300000000000182,8.949999999999818,1.300000000000182,16.949999999999818,09:56:54 RailTested Demand 7712.25-7713.75; 09:57:58 RailOwned Supply 7711.75-7713.5; 09:57:58 RailFailed Demand 7712.25-7713.75; 09:58:27 RailTested Supply 7711.75-7713.5,09:54:03 AllowProbe trap_probe/same_side_lean_at_trap_probe; 09:55:45 Flatten build_trial/risk_anchor_failed; 10:01:25 AllowProbe trap_probe/same_side_lean_at_trap_probe; 10:07:10 Flatten build_trial/risk_anchor_failed,7722.25,7712.0,7722.0,8.949999999999818,1.300000000000182,8.699999999999818,7730.25,7712.0,7723.5,16.949999999999818,1.300000000000182,10.199999999999818,campaign_relevant_touch
19,ES,ES_SPX,oi_put_wall,lower,14:27:00,14:38:00,11,7727.95,7728.01,7727.95,7728.01,0.06000000000040018,0.0,7731.25,7724.25,7730.5,0.6512820512820513,0.8846153846153846,2019.0,-61275.823,-39830.142,21445.680999999997,4.489999999999782,3.5100000000002183,5.239999999999782,5.260000000000218,14:27:52 RailOwned Supply 7729.75-7730.75; 14:31:40 RailTested Supply 7729.75-7730.75; 14:31:48 RailOwned Demand 7725.75-7726.5; 14:33:49 RailTested Demand 7725.75-7726.5,14:31:48 Retire target_zone/opposite_ownership_at_target,7732.5,7724.5,7725.0,4.489999999999782,3.5100000000002183,-3.0100000000002183,7733.25,7722.75,7731.75,5.239999999999782,5.260000000000218,3.7399999999997817,campaign_relevant_touch
27,ES,ES_SPX,zero_gamma,lower,10:06:00,10:08:00,3,7711.89,7712.67,7711.89,7712.99,1.0999999999994543,0.0,7721.25,7712.0,7715.0,0.8435897435897436,0.8589743589743589,134.0,38820.026,22533.84,-16286.185999999998,14.829999999999927,-1.5799999999999272,19.579999999999927,-1.5799999999999272,10:06:34 RailTested Demand 7712-7714.75; 10:07:53 RailHeld Demand 7712-7714.75; 10:08:11 RailTested Demand 7712-7714.75; 10:10:11 RailHeld Demand 7712-7714.75,10:07:10 Flatten build_trial/risk_anchor_failed; 10:07:53 AllowProbe trap_probe/same_side_lean_at_trap_probe,7727.5,7714.25,7723.75,14.829999999999927,-1.5799999999999272,11.079999999999927,7732.25,7714.25,7728.5,19.579999999999927,-1.5799999999999272,15.829999999999927,responsive_terminal_candidate
16,ES,ES_SPX,oi_put_wall,lower,10:23:00,10:48:00,22,7728.12,7728.55,7728.04,7728.55,0.5100000000002183,0.0,7732.25,7721.75,7730.75,0.6935897435897436,0.9615384615384616,713.0,72873.796,95255.3,22381.504,10.210000000000036,-0.7100000000000364,14.710000000000036,-0.7100000000000364,10:27:13 RailOwned Demand 7725.25-7726; 10:27:19 RailOwned Demand 7725.75-7726.75; 10:28:35 RailTested Demand 7725.75-7726.75; 10:28:49 RailTested Demand 7725.25-7726,,7738.25,7728.75,7734.25,10.210000000000036,-0.7100000000000364,6.210000000000036,7742.75,7728.75,7742.5,14.710000000000036,-0.7100000000000364,14.460000000000036,responsive_terminal_candidate
17,ES,ES_SPX,oi_put_wall,lower,10:55:00,10:57:00,3,7728.55,7728.55,7728.55,7728.55,0.0,0.1999999999998181,7733.5,7728.75,7731.0,0.6692307692307692,0.8974358974358975,-1096.0,123001.414,140880.583,17879.16900000001,10.699999999999818,-1.949999999999818,14.199999999999818,-1.949999999999818,10:53:42 RailTested Demand 7730.25-7730.5; 10:54:51 RailHeld Demand 7730.25-7730.5; 10:55:31 RailTested Demand 7730.25-7730.5; 10:58:46 RailHeld Demand 7730.25-7730.5,,7739.25,7730.5,7737.0,10.699999999999818,-1.949999999999818,8.449999999999818,7742.75,7730.5,7736.5,14.199999999999818,-1.949999999999818,7.949999999999818,responsive_terminal_candidate
1,ES,ES_SPX,call_wall,upper,11:17:00,11:19:00,3,7743.84,7743.84,7743.84,7743.84,0.0,1.0900000000001455,7742.75,7740.25,7741.25,0.4358974358974359,0.5,-313.0,220238.296,230510.074,10271.777999999991,11.590000000000146,-1.3400000000001455,18.590000000000146,-1.3400000000001455,,,7742.5,7732.25,7733.75,-1.3400000000001455,11.590000000000146,-10.090000000000146,7742.5,7725.25,7728.25,-1.3400000000001455,18.590000000000146,-15.590000000000146,responsive_terminal_candidate
18,ES,ES_SPX,oi_put_wall,lower,11:39:00,11:50:00,9,7728.87,7728.87,7728.87,7728.87,0.0,0.0,7732.25,7725.25,7732.0,0.7794871794871795,0.9051282051282051,-43.0,143613.285,113384.538,-30228.747000000003,12.63000000000011,-2.380000000000109,12.63000000000011,-2.380000000000109,,,7741.5,7731.25,7738.0,12.63000000000011,-2.380000000000109,9.13000000000011,7741.5,7731.25,7737.25,12.63000000000011,-2.380000000000109,8.38000000000011,responsive_terminal_candidate
4,ES,ES_SPX,call_wall,upper,12:59:00,13:03:00,5,7753.46,7754.05,7753.46,7754.05,0.5900000000001455,0.5500000000001819,7753.5,7750.25,7752.5,0.28205128205128205,0.6256410256410256,-207.0,503482.132,516196.473,12714.341000000015,4.800000000000182,1.449999999999818,5.550000000000182,1.449999999999818,13:06:49 RailOwned Supply 7752-7753.25; 13:08:04 RailTested Supply 7752-7753.25; 13:09:40 RailFailed Supply 7752-7753.25; 13:10:30 RailOwned Demand 7749.5-7752.5,,7755.5,7749.25,7753.0,1.449999999999818,4.800000000000182,-1.050000000000182,7755.5,7748.5,7751.5,1.449999999999818,5.550000000000182,-2.550000000000182,responsive_terminal_candidate
11,ES,ES_SPX,oi_call_wall,upper,13:00:00,13:03:00,4,7754.05,7754.05,7754.05,7754.05,0.0,0.5500000000001819,7753.5,7751.5,7752.5,0.2833333333333333,0.6256410256410256,-395.0,495650.458,516196.473,20546.015000000014,4.800000000000182,1.449999999999818,5.550000000000182,1.449999999999818,13:06:49 RailOwned Supply 7752-7753.25; 13:08:04 RailTested Supply 7752-7753.25; 13:09:40 RailFailed Supply 7752-7753.25; 13:10:30 RailOwned Demand 7749.5-7752.5,,7755.5,7749.25,7753.0,1.449999999999818,4.800000000000182,-1.050000000000182,7755.5,7748.5,7751.5,1.449999999999818,5.550000000000182,-2.550000000000182,responsive_terminal_candidate
