case_id,call,count
es_20260827_1130_long_7728,tail_reclaim_harvest_not_add,3
es_20260827_1130_long_7728,tail_reclaim_reject_depleted,1
es_20260827_1330_short_7748,tail_reclaim_add,1
es_20260827_1330_short_7748,tail_reclaim_harvest_not_add,4
es_20260827_1330_short_7748,tail_reclaim_reject_depleted,2
es_20260828_1120_short_7780,tail_reclaim_add,1
es_20260828_1120_short_7780,tail_reclaim_add_reduced,3
es_20260828_1120_short_7780,tail_reclaim_mature_path_harvest,3
es_20260828_1120_short_7780,tail_reclaim_reject_depleted,6
